"Comunidad.Autónoma";"Provincia";"Gasto.Total.Prestación";"Gasto.Prestación.Contributiva";"Gasto.Subsidio.Desempleo";"Gasto.Renta.Activa.Inserción";"Gasto.Subsidio.Eventuales.Agrarios";"mes";"any"
"Andalucía";"Sevilla";91243,53;44571,87;31701,01;4008,29;10962,36;"02";"2022"
"Aragón";"Huesca";6585,07;5096,03;1350,03;139,01;0;"02";"2022"
"Aragón";"Teruel";3853,25;2781,47;1010,08;61,7;0;"02";"2022"
"Aragón";"Zaragoza";30607,18;22384,02;7500,02;723,14;0;"02";"2022"
"Asturias";"Asturias";32373,52;21299,45;9968,28;1105,79;0;"02";"2022"
"Illes Balears";"Balears, Illes";127378,99;117335,79;9181,44;861,76;0;"02";"2022"
"Canarias";"Palmas, Las";50461,59;30774,05;17069,58;2617,96;0;"02";"2022"
"Canarias";"Santa Cruz de Tenerife";45883,67;26948,73;16295,45;2639,49;0;"02";"2022"
"Cantabria";"Cantabria";20498,03;14269,9;5635,12;593,01;0;"02";"2022"
"Castilla y León";"Ávila";5361,56;3335,4;1836,02;190,14;0;"02";"2022"
"Castilla y León";"Burgos";12271,66;8627,64;3372,86;271,16;0;"02";"2022"
"Castilla y León";"León";14810,74;9406,15;4951,55;453,04;0;"02";"2022"
"Castilla y León";"Palencia";5742,81;4236,45;1367,88;138,48;0;"02";"2022"
"Castilla y León";"Salamanca";10613,07;6798,91;3448,6;365,56;0;"02";"2022"
"Castilla y León";"Segovia";4483,45;3268,99;1120,64;93,82;0;"02";"2022"
"Castilla y León";"Soria";2714,75;2067,4;600,5;46,85;0;"02";"2022"
"Castilla y León";"Valladolid";16319,5;11977,39;3936,77;405,34;0;"02";"2022"
"Castilla y León";"Zamora";5783,97;3671,68;1931,06;181,23;0;"02";"2022"
"Castilla - La Mancha";"Albacete";15143,65;9336,09;5059,73;747,83;0;"02";"2022"
"Castilla - La Mancha";"Ciudad Real";17882,76;9974,88;6803,46;1104,42;0;"02";"2022"
"Castilla - La Mancha";"Cuenca";6121,86;3956,57;1956,94;208,35;0;"02";"2022"
"Castilla - La Mancha";"Guadalajara";9828,28;7118,6;2475,4;234,28;0;"02";"2022"
"Castilla - La Mancha";"Toledo";25690,86;15798,64;8867,95;1024,27;0;"02";"2022"
"Cataluña";"Barcelona";207733,68;160810,36;43789,52;3133,8;0;"02";"2022"
"Cataluña";"Girona";37199,66;30100,01;6540,42;559,23;0;"02";"2022"
"Cataluña";"Lleida";13862,73;10445,16;3116,76;300,81;0;"02";"2022"
"Cataluña";"Tarragona";39940,37;30745,48;8398,36;796,53;0;"02";"2022"
"Comunitat Valenciana";"Alicante/Alacant";74737,85;46883;24562,28;3292,57;0;"02";"2022"
"Comunitat Valenciana";"Castellón/Castelló";21699,96;14550,01;6510,4;639,55;0;"02";"2022"
"Comunitat Valenciana";"Valencia/Valéncia";91055,5;58904,48;28567,42;3583,6;0;"02";"2022"
"Extremadura";"Badajoz";35011,02;15395,65;13924,82;1587,74;4102,81;"02";"2022"
"Extremadura";"Cáceres";20624,29;9233,3;8428,04;676,25;2286,7;"02";"2022"
"Galicia";"Coruña, A";36123,96;24902,31;10285,41;936,24;0;"02";"2022"
"Galicia";"Lugo";8952,76;5787,64;2889,21;275,91;0;"02";"2022"
"Galicia";"Ourense";9366,5;5726,86;3312,83;326,81;0;"02";"2022"
"Galicia";"Pontevedra";34471,05;22931,38;10537,24;1002,43;0;"02";"2022"
"Madrid";"Madrid";213836,87;165003,74;44829,18;4003,95;0;"02";"2022"
"Murcia";"Murcia";57498,18;41342,85;13980,38;2174,95;0;"02";"2022"
"Navarra";"Navarra";22155,71;17517,49;4294,62;343,6;0;"02";"2022"
"País Vasco";"Araba/Álava";10255,75;8152;1928,9;174,85;0;"02";"2022"
